N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.60164,6500,0,173.511,G02 X-83.286 Y27.443 I18.27 J-.034
,15000,1,1.69558,6500,0,183.687833,G02 X-83.286 Y27.443 I18.27 J-.034
,15000,1,1.77147,6500,0,191.90925,G02 X-83.286 Y27.443 I18.27 J-.034
,15000,1,2.05671,6500,0,222.81025,G02 X-83.286 Y27.443 I18.27 J-.034
,15000,1,2.25709,6500,0,244.518083,G02 X-83.286 Y27.443 I18.27 J-.034
,15000,1,2.51029,6500,0,271.948083,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,2.75538,6500,0,298.4995,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,3.00263,6500,0,325.284917,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,3.28745,6500,0,356.140417,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,3.58202,6500,0,388.052167,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,3.91514,6500,0,424.140167,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,4.22483,6500,0,457.689917,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,4.57458,6500,0,495.5795,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,4.9619,6500,0,537.539167,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,5.28221,6500,0,572.239417,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,5.64581,6500,0,611.629417,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,6.09539,6500,0,660.333917,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,6.43696,6500,0,697.337333,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,6.8165,6500,0,738.454167,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,7.23297,6500,0,783.57175,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,7.58805,6500,0,822.03875,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,7.99889,6500,0,866.546417,X-79.721 Y35.55 I16.738 J-2.523
,15000,1,5.55391,6500,0,601.673583,G03 X-78.802 Y37.199 I-3.985 J3.301
,15000,1,4.28193,6500,0,463.87575,G03 X-78.802 Y37.199 I-3.985 J3.301
